Documentos,Aceitação,Justificativa
ALERTA nº 001/2023 Infraestrutura eVTOL,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ALERTAn001_2023InfraestruturaparapousoedecolagemdeaeronaveseVTOL,Rejeitado,Documento repetido.
"Anatel - Ato nº 915, de 01 de fevereiro de 2024",Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
ANEEL1000,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
Anatel_915,Rejeitado,Documento repetido.
CEF RBAC 103,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
CEF RBAC 107,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
CEF RBAC 133,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
CEF RBAC 153,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
CEF RBAC nº 161,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
CEF RBAC-E 94,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
CONAMA_RES_CONS_1997_237,Aceito,Documento mantido na elegibilidade por constar na aba INCLUSÃO.
D10854,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D10935,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D10936,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D1141,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D12483,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D12486,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D12490,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D12602,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D1876,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D4297,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D45058,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D527,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D528,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D529,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D5566,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D5758,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D5875,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D60296,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
D6288,Rejeitado,Documento rejeitado na elegibilidade por não contribuir diretamente para o planejamento urbano.
